,,,,CO2e,,原因
Week 5居家,高,,冷氣機,1800.00 ,1800.00 ,含大量銅管與壓縮機組
Week 5居家,低,,冰箱,900.00 ,900.00 ,
Week 5居家,高,,烘衣機(製造),800.00 ,800.00 ,烘衣機結構較複雜且金屬用量較多
Week 3交通,高,1,單人開車通勤8km,690.00 ,690.00 ,每日通勤累積量驚人
Week 5居家,高,,即熱電熱水器,600.00 ,600.00 ,高功率加熱設備
Week 5居家,低,,洗衣機(製造),600.00 ,600.00 ,
Week 5居家,高 + 低,,電視機,450.00 ,450.00 ,包含精密面板，生命週期碳排較高
Week 5居家,低,,電視,450.00 ,450.00 ,
Week 6生活,高,,筆記型電腦,350.00 ,350.00 ,螢幕尺寸與零組件多
Week 5居家,低,,微波爐,250.00 ,250.00 ,
Week 3交通,低,1,搭2次國內飛機,240.00 ,240.00 ,
Week 6生活,高,,嬰幼兒慕絲,170.00 ,170.00 ,因配方更溫和、製程與品管標準更高，且包裝與測試要求更嚴格
Week 1食物,高*2,1kg,牛肉 / 牛排,155.00 ,155.00 ,牛肉生產過程排放大量甲烷，是碳排放之王。
Week 1食物,高,,,155.00 ,155.00 ,
Week 5居家,高,,木質衣櫃,150.00 ,150.00 ,大型木質家具用料較多且製程較長
Week 5居家,高,,木質衣櫃,150.00 ,150.00 ,
Week 5居家,高,,沙發,120.00 ,120.00 ,包含皮革、海綿與框架
Week 6生活,高,,沐浴乳(含製程),110.00 ,110.00 ,部分添加物在數據中碳足跡較高
Week 4娛樂,高,,現場音樂會,100.00 ,10 ~ 100,實體活動涉及交通與大型電力消耗
Week 4娛樂,高,,高爾夫球(18洞),100.00 ,50-100,高爾夫球場的大量灑水與維護
Week 5居家,低,,床墊,100.00 ,100.00 ,
Week 5居家,高*1 +低*2,,木質書櫃,80.00 ,80.00 ,結構越簡單
Week 5居家,高,,購買一個書櫃,80.00 ,80.00 ,購買耐久財的瞬間碳足跡其實非常大
Week 5居家,低,,木質書櫃,80.00 ,80.00 ,
Week 5居家,低,,木質書櫃,80.00 ,80.00 ,結構越簡單
Week 6生活,低,,智慧型手機,70.00 ,70.00 ,
Week 1食物,高 + 低,1kg,羊肉,58.40 ,58.40 ,
Week 1食物,低,1kg,羊肉,58.40 ,58.40 ,
Week 4娛樂,低,1天,滑雪,50.00 ,10-50,
Week 5居家,高,,木製桌子,40.00 ,40.00 ,
Week 5居家,高 + 低,,木製桌子,40.00 ,40.00 ,結構越簡單
Week 6生活,高,,牛仔褲,33.00 ,33.00 ,牛仔褲的染色與石磨加工
Week 6生活,高 * 2,,1件牛仔褲穿3年 / 牛仔褲,33.00 ,33.00 ,牛仔褲的染色與石磨加工
Week 6生活,高,,皮鞋,30.00 ,30.00 ,皮革生產過程（畜牧業）
Week 4娛樂,高,1小時,水上摩托車,30.00 ,20 ~ 30,燃油引擎驅動
Week 4娛樂,低,1次,潛水,30.00 ,10 ~ 30,
Week 5居家,低,,每天燒1L水一年,26.00 ,26.00 ,
Week 1食物,低,1kg,豬肉,24.00 ,24.00 ,豬肉養殖的碳排放量通常低於牛、羊等反芻動物
Week 3交通,高,1,四人共乘燃油汽車,21.60 ,21.60 ,
Week 5居家,低,,不鏽鋼鍋,20.00 ,20.00 ,不鏽鋼製程優化後，單一產品碳排可能低
Week 1食物,高,1kg,雞肉,18.20 ,18.20 ,
Week 6生活,高,,每次索取紙袋(年排),18.00 ,18.00 ,
Week 4娛樂,高,1小時,每天晚上玩高效能電腦,15.00 ,15.00 ,高功率電器日積月累非常耗能
Week 6生活,低,,球鞋,14.00 ,14.00 ,
Week 6生活,低,,每年買2件棉T，連續3年,13.80 ,13.80 ,雖然買多次，但低碳產品總和仍較低
Week 1食物,低,,魚排,13.40 ,13.40 ,海鮮與白肉的碳排放量顯著低於紅肉。
Week 3交通,低,1,四人各自搭捷運,9.36 ,9.36 ,捷運仍是集體移動首選
Week 6生活,高,,一捲保鮮膜,7.00 ,7.00 ,
Week 4娛樂,高,,影城看1部電影,5.00 ,2 ~ 5,
Week 4娛樂,高,1小時,游泳,5.00 ,2 ~ 5,泳池的過濾與加溫系統
Week 4娛樂,高 * 2,,足球比賽(現場),5.00 ,1 ~ 5,
Week 4娛樂,高,,足球比賽(現場),5.00 ,1 ~ 5,
Week 6生活,高,,保鮮盒,5.00 ,5.00 ,
Week 4娛樂,低,,看一次電影,4.00 ,4.00 ,
Week 1食物,高,,牛肉燴飯,3.50 ,3.0－3.5,少吃牛肉是低碳飲食最有感的行為
Week 4娛樂,低,1小時,室內健身房,3.00 ,1 ~ 3,
Week 4娛樂,低 * 2,1小時,室內健身房,3.00 ,1 ~ 3,個人運動相對低
Week 6生活,低,,陶瓷碗,3.00 ,3.00 ,耐用品長期分攤下來 遠低於 拋棄式
Week 1食物,高,300g,鯛魚腹片,2.80 ,2.80 ,
Week 6生活,高,,洗手乳,2.80 ,2.80 ,
Week 6生活,低 * 2,,洗髮精,2.60 ,2.60 ,洗髮精配方略微簡單
Week 6生活,低,,洗髮精,2.60 ,2.60 ,
Week 2飲料,高,1,牛奶,2.48 ,2.48 ,畜牧業生產
Week 6生活,低,,棉T,2.30 ,2.30 ,
Week 1食物,高,1kg,白米,2.20 ,2.20 ,
Week 2飲料,高,0.3,熱拿鐵,2.00 ,2.00 ,熱飲持續消耗能源加熱
Week 4娛樂,高,,劃獨木舟,2.00 ,0 ~ 2,
Week 6生活,低,,泡沫洗手乳,2.00 ,2.00 ,
Week 1食物,低,,炸雞排 + 500ml 飲料,1.70 ,1.4－1.7,
Week 1食物,低,1kg,有機米,1.60 ,1.60 ,有機耕作減少了化肥使用
Week 6生活,高,,不鏽鋼湯匙,1.50 ,1.50 ,湯匙在重量較重且成形製程較複雜
Week 4娛樂,高,,24h 實體店,1.40 ,1.40 ,
Week 6生活,低,,四方筷,1.40 ,1.40 ,結構單純
Week 1食物,高,,炸雞塊,1.20 ,1.0－1.2,
Week 1食物,高,400g,草莓,1.10 ,1.10 ,草莓通常需要溫室或較多冷鏈設備，碳排放較高
Week 2飲料,低,0.3,冰拿鐵,1.00 ,1.00 ,
Week 4娛樂,低,,看一部網路串流電影,1.00 ,0.6 ~ 1,省去場地運維
Week 2飲料,低,1,豆漿,0.85 ,0.85 ,植物奶碳
Week 1食物,低,1kg,豆腐,0.80 ,0.80 ,植物性蛋白質（豆腐）碳排放遠低於動物性蛋白質。
Week 6生活,低,,玻璃杯,0.80 ,0.80 ,製程相對單純
Week 1食物,低,400g,香蕉分享包,0.63 ,0.63 ,
Week 2飲料,高,0.7,紅茶,0.60 ,0.60 ,
Week 4娛樂,高,1小時,PC 遊戲,0.60 ,0.2 ~ 0.6,
Week 1食物,低,,烤蔬菜串 + 500ml 飲料,0.55 ,0.35－0.55,多菜少肉是減碳的核心，哪怕加上飲料也一樣
Week 2飲料,低,0.7,綠茶,0.55 ,0.55 ,不需發酵，加工環節少於紅茶
Week 6生活,低,,自備塑膠袋(年排),0.50 ,0.50 ,自備與重複使用
Week 2飲料,高,0.6,熱美式咖啡,0.44 ,0.44 ,咖啡產業鏈漫長且耗能
Week 1食物,高,,普通雞蛋,0.40 ,0.40 ,
Week 2飲料,高,0.6,瓶裝可樂,0.40 ,0.40 ,可樂配方與製程含多重處理流程
Week 4娛樂,高,,數位帳戶開戶,0.40 ,0.40 ,開戶流程較複雜、系統耗能高
Week 2飲料,高,0.45,紙盒豆漿,0.38 ,0.38 ,"豆漿原料含高蛋白且製程需高溫，
較果汁飲料高"
Week 2飲料,高,0.45,紙盒豆漿,0.38 ,0.38 ,豆漿生產能耗較高
Week 1食物,高,42g,蛋黃酥,0.36 ,0.36 ,工序繁複
Week 2飲料,高,0.5,檸檬氣泡水,0.36 ,0.36 ,
Week 2飲料,高,0.5,檸檬氣泡水,0.36 ,0.36 ,"氣泡水需二氧化碳加壓與耐壓瓶身，
製程較耗能"
Week 2飲料,低,0.5,氣泡水,0.34 ,0.34 ,成分越單純
